Mes,Categoria,Producto,Ventas,Cantidad,SatisfaccionCliente
Enero,Electrónica,Televisor,5000,3,4.5
Enero,Electrónica,Celular,7000,5,4.7
Enero,Hogar,Aspiradora,1500,10,4.2
Enero,Hogar,Microondas,2000,8,4.1
Enero,Ropa,Camiseta,800,20,4.8
Enero,Ropa,Jeans,1200,15,4.4
Febrero,Electrónica,Tablet,6000,4,4.3
Febrero,Electrónica,Laptop,10000,2,4.9
Febrero,Hogar,Licuadora,1000,12,4.0
Febrero,Hogar,Refrigerador,8000,1,4.7
Febrero,Ropa,Chaqueta,3000,7,4.6
Febrero,Ropa,Zapatos,2000,10,4.5
Marzo,Electrónica,Cámara,4500,6,4.4
Marzo,Electrónica,Audífonos,1200,15,4.6
Marzo,Hogar,Tostadora,900,9,4.3
Marzo,Hogar,Freidora,2200,7,4.2
Marzo,Ropa,Pantalones,1100,12,4.7
Marzo,Ropa,Faldas,1300,8,4.5
Abril,Electrónica,Smartwatch,4000,5,4.8
Abril,Electrónica,Parlante,3500,6,4.5
Abril,Hogar,Calentador,3200,4,4.1
Abril,Hogar,Plancha,1500,14,4.4
Abril,Ropa,Sudadera,1800,11,4.6
Abril,Ropa,Gorra,800,13,4.3
Mayo,Electrónica,Consola,12000,1,4.9
Mayo,Electrónica,Monitor,5000,3,4.7
Mayo,Hogar,Cafetera,1800,9,4.4
Mayo,Hogar,Aspiradora,1600,8,4.5
Mayo,Ropa,Botas,2200,5,4.6
Mayo,Ropa,Camisa,1000,15,4.3
Junio,Electrónica,Laptop,10000,2,4.8
Junio,Electrónica,Tablet,6500,3,4.6
Junio,Hogar,Refrigerador,8500,1,4.7
Junio,Hogar,Microondas,2100,7,4.2
Junio,Ropa,Sombrero,900,10,4.5
Junio,Ropa,Shorts,1200,12,4.3
